From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
##陸

#山岳地帯




4318;5102;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1898;8029;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1898;1961;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
3989;1961;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1129;1961;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1996;4318;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
4923;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains#nmmp
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;パミール高原
12370;12119;impassable;-1;-1;-1;-1;-1;;パミール高原
5062;12119;impassable;-1;-1;-1;-1;-1;;パミール高原
4923;1766;impassable;-1;-1;-1;-1;-1;;パミール高原#nmmp
5062;1766;impassable;-1;-1;-1;-1;-1;;パミール高原#nmmp
1703;4768;impassable;-1;-1;-1;-1;-1;;パミール高原#nmmp
5062;4828;impassable;-1;-1;-1;-1;-1;;パミール高原
4768;4828;impassable;-1;-1;-1;-1;-1;;パミール高原
4391;4828;impassable;-1;-1;-1;-1;-1;;パミール高原
4391;1703;impassable;-1;-1;-1;-1;-1;;パミール高原
4391;12526;impassable;-1;-1;-1;-1;-1;;パミール高原
11697;3931;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;3931;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;11838;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;915;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
6766;899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
6766;3899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
3915;3899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
6931;3899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
198;13076;impassable;-1;-1;-1;-1;-1;;ウラル山脈
11098;13076;impassable;-1;-1;-1;-1;-1;;ウラル山脈
11098;12502;impassable;-1;-1;-1;-1;-1;;ウラル山脈
3612;611;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
3612;11570;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
9587;11570;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
9587;776;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
9587;6635;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
636;6635;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
658;11601;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
658;661;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
3660;661;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
11721;6975;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
11721;3764;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
9738;3764;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
9738;9745;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
6780;9745;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部

#海峡
83;185;sea;1885;-1;-1;-1;-1;;シュール海峡	Suur Strait
83;6201;sea;1660;-1;-1;-1;-1;;ハリ・クルク海峡	Hari Kurk Strait
185;6201;sea;1885;-1;-1;-1;-1;;ソエラ海峡	Soela Strait
198;11047;sea;8370;-1;-1;-1;-1;;カラ海峡	Kara Strait
211;299;sea;2282;-1;-1;-1;-1;;カルマル海峡	Kalmar Strait
379;11106;sea;5533;-1;-1;-1;-1;;マルティニーク海峡	Martinique Channel
1025;11985;sea;7932;-1;-1;-1;-1;;関門海峡	Kanmon Straits
1070;4160;sea;5244;-1;-1;-1;-1;;瓊州海峡	Qiongzhou Strait
1085;10291;sea;5868;-1;-1;-1;-1;;インディスペンセイブル海峡	Indispensable Strait
1123;11932;sea;8525;-1;-1;-1;-1;;宮古海峡	Miyako Strait
1167;7145;sea;2684;-1;-1;-1;-1;;隠岐海峡
1342;10279;sea;2737;-1;-1;-1;-1;;スンダ海峡	Sunda Strait
1393;7259;sea;5257;-1;-1;-1;-1;;ジョージア海峡	Strait of Georgia
1399;4728;sea;5488;-1;-1;-1;-1;;占守海峡	Shumushu Strait
1401;7396;sea;5615;-1;-1;-1;-1;;バンカ海峡	Bangka Strait
1460;12126;sea;812;-1;-1;-1;-1;;ムンタワイ海峡	Mentawai Strait
1515;13037;sea;5614;-1;-1;-1;-1;;択捉海峡	Vries Strait
1814;4819;sea;5637;-1;-1;-1;-1;;クック海峡	Cook Strait
3260;3325;;2408;-1;-1;-1;-1;;大ベルト海峡	Great Belt Strait
3260;3374;;2408;-1;-1;-1;-1;;大ベルト海峡	Great Belt Strait
3277;3325;;2408;-1;-1;-1;-1;;小ベルト海峡	Little Belt Strait
3284;10767;sea;2597;-1;-1;-1;-1;;コロンブス海峡	Columbus Channel
3325;11251;;2408;-1;-1;-1;-1;;小ベルト海峡	Little Belt Strait
3691;12147;sea;8978;-1;-1;-1;-1;;ハドソン海峡	Hudson Strait
3838;6891;sea;5579;-1;-1;-1;-1;;ボニファシオ海峡	Bonifacio Strait
3962;9859;sea;5946;-1;-1;-1;-1;;津軽海峡	Tsugaru Strait
4112;6550;sea;7226;-1;-1;-1;-1;;ヒオス海峡	Chios Strait
4159;9990;sea;5681;-1;-1;-1;-1;;メッシーナ海峡	Messina Strait
4198;12032;sea;8472;-1;-1;-1;-1;;大隅海峡	Osumi Strait
4211;7396;sea;4225;-1;-1;-1;-1;;ガスパル海峡	Gaspar Strait
4273;7293;sea;2239;-1;-1;-1;-1;;ロンボク海峡	Lombok Strait
4273;7654;sea;2239;-1;-1;-1;-1;;バリ海峡	Bali Strait
4306;4608;sea;5666;-1;-1;-1;-1;;マドゥラ海峡	Madura Strait
4360;7304;sea;8614;-1;-1;-1;-1;;ノーサンバーランド海峡	Northumberland Strait
4576;12446;sea;4465;-1;-1;-1;-1;;宗谷海峡	Soya Strait
4646;13037;sea;5922;-1;-1;-1;-1;;根室海峡	Nemuro Strait
4646;13327;sea;5922;-1;-1;-1;-1;;珸瑤瑁海峡	Goyomai Strait
6062;6205;sea;3590;-1;-1;-1;-1;;ミンチ海峡	The Minch
6287;6345;sea;2382;-1;-1;-1;-1;;エーレスンド海峡	Øresund Strait
6741;9680;sea;8282;-1;-1;-1;-1;;ケルチ海峡	Kerch Strait
7046;10092;sea;8791;-1;-1;-1;-1;;豊後水道	Bungo Channel
7071;13332;sea;5322;-1;-1;-1;-1;;金門海峡	Quemoy Strait
7110;10011;sea;2708;-1;-1;-1;-1;;対馬海峡	Tsushima Strait
7123;9377;sea;5533;-1;-1;-1;-1;;ドミニカ海峡	Dominica Passage
7293;10191;sea;2239;-1;-1;-1;-1;;アラス海峡	Alas Strait
7385;12153;sea;8751;-1;-1;-1;-1;;セブ海峡	Cebu Strait
7855;13204;sea;2556;-1;-1;-1;-1;;ベーリング海峡	Bering Strait
9377;13319;sea;2887;-1;-1;-1;-1;;グアドループ海峡	Guadeloupe Passage
9805;10203;sea;5864;-1;-1;-1;-1;;コルフ海峡	Corfu Channel
9833;11829;sea;5412;-1;-1;-1;-1;;ボスポラス海峡	Bosporus
9952;1117;sea;2658;-1;-1;-1;-1;;佐渡海峡	Sado Strait
9965;13306;sea;8791;-1;-1;-1;-1;;鳴門海峡	Naruto Strait
12031;13306;sea;8791;-1;-1;-1;-1;;明石海峡	Akashi Strait
12113;12299;sea;5539;-1;-1;-1;-1;;シンガポール海峡	Singapore Strait
13037;13327;sea;5922;-1;-1;-1;-1;;南千島海峡	South Chishima Strait

4198;13329;sea;8318;-1;-1;-1;-1;;
7115;13329;sea;8318;-1;-1;-1;-1;;
7157;13328;sea;5664;-1;-1;-1;-1;;


1123;7186;sea;2829;-1;-1;-1;-1;;


9793;9845;sea;8871;-1;-1;-1;-1;;バレアレス諸島	Balearic Islands

12251;10321;sea;8313;-1;-1;-1;-1;;アンダマン諸島
7413;1419;sea;5294;-1;-1;-1;-1;;モルッカ諸島
10141;1419;sea;5267;-1;-1;-1;-1;;モルッカ諸島
480;9431;sea;8621;-1;-1;-1;-1;;低地地方沿岸
#海峡隧道
4056;10011;sea;2708;-1;-1;-1;-1;TSUSHIMA-PUSAN;

##海
#川
1434;2332;sea;149;-1;-1;-1;-1;;ネバ川
2332;2356;sea;3084;-1;-1;-1;-1;;スヴィリ川
#運河
209;13194;sea;6090;-1;-1;-1;-1;;北海バルト海運河(WHITE_SEA-BALTIC_SEA_CANAL)
2684;13305;sea;1067;7102;-1;-1;-1;TRANSJAPAN_CANAL;日本横断運河
803;5388;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;スエズ運河
5664;13305;sea;1067;12097;-1;-1;-1;TRANSJAPAN_CANAL;日本横断運河
5913;6801;sea;4109;-1;-1;-1;-1;CORINTH_CANAL;コリントス運河
8857;2284;sea;7617;1560;1009;1556;1016;PANAMA_CANAL;パナマ運河
#海峡
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;ダーダネルス海峡
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;ジブラルタル海峡南部
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;ジブラルタル海峡北部
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;ボスポラス海峡

#
12126;1428;sea;812;-1;-1;-1;-1;;Tanahbala-Siberut
12162;1298;sea;2124;-1;-1;-1;-1;;West Nusa Tenggara-East Nusa Tenggara
12151;10219;sea;5414;-1;-1;-1;-1;;East Nusa Tenggara-Pulau Alor
12444;10222;sea;5515;-1;-1;-1;-1;;Sulawesi-Pulau Buton
1293;4269;sea;8751;-1;-1;-1;-1;;Surigao-Leyte
1311;4228;sea;2856;-1;-1;-1;-1;;San Bernardino Strait
4288;1221;sea;2876;-1;-1;-1;-1;;Mindoro-Batangas
4228;7307;sea;2876;-1;-1;-1;-1;;Ticao Pass
10302;1261;sea;2876;-1;-1;-1;-1;;Panay-Negros
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
1399;1515;sea;8893;-1;-1;-1;-1;;Kurils 1#changed
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;7115;sea;8499;-1;-1;-1;-1;;Okinawa 2#Modified
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;2700;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;5339;-1;-1;-1;-1;;Hawaii-Maui#changed
7195;4180;sea;5339;-1;-1;-1;-1;;Maui-Honolulu#changed
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai#changed
12148;10188;sea;2352;-1;-1;-1;-1;;Tahiti-Raiatea#changed
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands#changed
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;13320;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
4450;13319;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13323;sea;2887;-1;-1;-1;-1;;Montserrat-Anguillaat

13322;13324;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turke
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
3422;6449;sea;2871;-1;-1;-1;-1;;Channel islands#Added
1091;12068;sea;5322;-1;-1;-1;-1;;Hoko#Added
153;13320;sea;2571;-1;-1;-1;-1;;
153;13321;sea;2571;-1;-1;-1;-1;;

1440;4155;sea;5507;-1;-1;-1;-1;;
4155;13313;sea;5507;-1;-1;-1;-1;;
13313;13314;sea;5507;-1;-1;-1;-1;;
13314;13315;sea;5507;-1;-1;-1;-1;;
13312;13317;sea;5507;-1;-1;-1;-1;;

8051;13325;sea;2691;-1;-1;-1;;

3422;13310;sea;2871;-1;-1;-1;-1;;

-1;-1;;-1;-1;-1;-1;-1;-1